"Should you rebuild in same location after tsunami?","Consider elevation, setbacks, and improved construction methods."
"What is tsunami-resistant construction?","Elevated structures, breakaway walls, reinforced materials, proper drainage."
"How do you make existing building more tsunami-resistant?","Elevate utilities, install flood vents, strengthen foundation, create escape routes."
"What landscaping helps with tsunamis?","Native vegetation, natural barriers, avoid hard surfaces that increase runup."
"Should coastal communities have seawalls?","Can help but may create false security, not effective against large tsunamis."
"What is vertical evacuation?","Going up in buildings when horizontal evacuation impossible."
"How high should vertical evacuation buildings be?","At least 4 stories or designed to withstand expected tsunami forces."
"What makes a good tsunami evacuation building?","Reinforced concrete, steel frame, above expected wave height, multiple exits."
"How do you design tsunami evacuation routes?","Wide, clear paths to high ground with minimal obstacles and chokepoints."
"Should evacuation routes have signs?","Yes, clear multilingual signs showing direction and distance to safety."
"What role do natural barriers play?","Mangroves, coral reefs, and dunes can reduce tsunami energy but not stop them."
"How do communities educate about tsunami risk?","Public drills, education campaigns, school programs, warning system tests."
"What is TsunamiReady certification?","NOAA program recognizing communities with effective tsunami preparedness."
"How often should communities practice tsunami drills?","At least annually, more frequently in high-risk areas."
"What should schools do for tsunami preparedness?","Evacuation plans, regular drills, parent notification systems, elevated safe areas."
"How do hotels prepare for tsunamis?","Guest education, evacuation plans, staff training, emergency supplies."
"What should hospitals do in tsunami zones?","Elevation planning, backup power, patient evacuation procedures, staff training."
"How do ports and harbors prepare for tsunamis?","Warning systems, vessel evacuation plans, infrastructure protection, emergency response."
"What is international tsunami cooperation?","Sharing warning data, research cooperation, standardized alert systems."
"What is the Pacific Tsunami Warning Center?","International center that monitors Pacific Ocean for tsunami threats."
"How do different countries share tsunami warnings?","Through regional warning networks and international communication protocols."
"What research is improving tsunami science?","Computer modeling, historical studies, geological research, early warning technology."
"How do scientists study past tsunamis?","Sediment deposits, coral growth patterns, historical records, geological evidence."
"What is paleotsunamiology?","Study of prehistoric tsunamis using geological and biological evidence."
"How do tsunami models work?","Computer simulations of wave generation, propagation, and coastal impact."
"What new technology is being developed?","Faster detection systems, improved modeling, better warning dissemination."
"Can artificial intelligence help with tsunamis?","AI can improve wave prediction, optimize evacuation routes, analyze risk patterns."
"What is community-based tsunami warning?","Local systems that complement official warnings with neighborhood networks."
"How do you maintain long-term tsunami preparedness?","Regular plan updates, continued education, equipment maintenance, community engagement."
"What is tsunami risk assessment?","Scientific evaluation of tsunami probability and potential impact for specific areas."
"How do you balance development with tsunami risk?","Zoning restrictions, building codes, setback requirements, risk disclosure."
